,CV,https://docs.google.com/document/d/1GBkuJMX5JaIUSGA-HsFOYZHdn-OA7a88UlYkdmQ4GBM/edit?tab=t.0,,,,,,,,,,,,,,Критерии оценки важности (не пиши это на сайте),,,,
,Game Analitics,https://game-analytics.ru/yg/developer/michaileshmakov-39892?is_status=all&s=&sortField=gq_rating&sortOrder=desc,,,,,,,,,,,,,,5,4,3,2,1
,,,,,,,,,,,,,,,,Демонстрирует мои умения,Важный проект в моей карьере,С этим связана какая-то история,Не получившийся проект,"Ерунда, просто забей"
,,,,,,,,,,,,,,,,,,,,
,В процессе. Оформляю,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Игра,Жанр,Скрины,Поиграть,Моя роль,Описание,Цель,Технологии,Площадка,Тэги,2д/3д,Оценка важности,Делал ли в найме,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,
Поезд,"Idler, Казуальная",,,"Разработчик, Геймдизайнер","Айдлер, где ты прокачиваешь поезд, получая деньги на станциях",Отрабатывал гипотезу о казуальных айдлерах на яндексе. Забросил игру из-за проблем в коре и того. что получил от подобных метрики ниже ожидаемых,"Unity, C#, Claude Code, Генерация изображений нейросетью",Яндекс Игры,"Поезд, Железная дорога, Айдлер",2д,2,Инди,,,,,,,,
External Avatar,Idler,,https://mihaileshmakov.itch.io/external-avatar,"Разработчик, Геймдизайнер","Айдлер, где ты прокачиваешь робота, который сам ездит и добывает ресурсы","Участвоал в вайбджеме, джеме, где нужно все делать с помощью нейросетей.","Unity, C#, Claude Code, Генерация изображений нейросетью",Itch.io,"Робот, Айдлер, #vibejam",2д,1,Джем,,,,,,,,
Ant Simulator,"Idler, Казуальная",,https://yandex.ru/games/app/556034,Разработчик,"Муравьи что-нибудь разбирают на мелкие кусочки и уходят в нору, приносят деньги. За них прокачиваешь муравьев","Делал для заработка, проверял гипотезу об айдлерах на яндексе","Unity, C#, Claude Code, Генерация изображений нейросетью","Яндекс Игры, Youtube Playables","Муравьи, Муравей, Едят",2д,5,Инди,,,,,,,,
Тайная Москва,"Idle RPG, кликер",,,Вайбкодер,"Ребенок видит духов и в idle режиме их задабривает (кликер), получая от них ресурсы и артефакты","Пробовал Клод в разных ролях, проверял создание UI нейронкой в юнити, проверял гипотезу об айдлерах на яндексе","Unity, C#, Claude Code, Генерация изображений нейросетью",Яндекс Игры,"Нерослоп, РПГ, домовой",2д,2,Инди,,,,,,,,
Копать-колотить: АФК блоки,"Idler, Казуальная",,https://yandex.ru/games/app/394971,"Разработчик, Геймдизайнер, Продюсер, Менеджер","Кирки сами летают, рушат блоки, за это можно поккупать новые кирки","Изначально написанный как-то, чтобы отдать фрилансеру, а затем делал для заработка, проверял гипотезу об айдлерах на яндексе. Пробовал скармливать клоду старое тз","Unity, C#, Claude Code, Генерация изображений нейросетью",Яндекс Игры,"Кирки, майнкрафт, кирка, айдлер",2д,3,Инди,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Гдетто,"Стратегия, головоломка, градостроительный симулятор",,https://myindie.ru/games/game/gdetto,"Продюсер, менеджер, геймдизайнер","Ставишь комнаты трущоб так, чтобы они не рушили общую систему",Игра на джем. Первый раз шел на джем лидером команды,"Kanban, Miro",MyIndie,"Джем, антиутопия, shelter, социальное жилье",2д,2,Джем,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Криппипасты Русского Цемента,Хоррор,,,"Разработчик, Дизайнер уровней",,,"Unity, C#, NavMesh",Нигде не выходила,,3д,1,Инди,,,,,,,,
"Игра на Siberian Game Jam 2025. Не помню, как назвали",Казуальная,,,Разработчик,,,,Itch.Io,,2д,1,Джем,,,,,,,,
Сидим с бобром. Что наболело,Казуальная,,,Продюсер,,,,Яндекс-игры,,2д,1,Инди,,,,,,,,
Wheels Of Fire,Платформер,,,Продюсер,"Навроде мужика в горшке. В 2д с видом сбоку на инвалидной коляске с огнеметом, струей огня отталкиваешься, за счет этого и двигаешься,и атакуешь",Собирал команду на энтузиазме. Пробовал пайплайн работы от соцсетей,,Нигде не выходила,,2д,1,Инди,,,,,,,,
Соседний Район,"Шутер от первого лица, стратегия",,https://mihaileshmakov.itch.io/wrongdistrict,"Разработчик, Геймдизайнер, Художник, Дизайнер уровней","Шутер от первого лица в панельках, где планируется стратежная мета","Сначала сделал на джем, чтобы потренироваться в делании шутеров от первого лица. Игра понравилась, и я стал думать, куда с ней дальше","Unity, C#, Krita, NavMesh","Steam, Яндекс Игры, itch.io","Гопники, панельки, пиксельные",3д,4,"Инди, джем",,,,,,,,
Крути да верти	,Казуальная,,,Разработчик,,Пытался создать конвейер под яндекс-игры. Просто взял готовый ассет,"Unity, C#",Яндекс-игры,"Ассет, вращать, шарики",3д,1,Инди,,,,,,,,
Я хочу быть пылесосом,Аркада,,,"Продюсер, Менеджер",Нужно найти 100 предметов и запылесосить их. В 3д от первого лица,Заказал игру по мему для яндекса. На базе мема из тиктока и популярной механики 100 кнопок из роблокса,,Яндекс-игры,"100 кнопок, собирать, заброшенный",3д,1,Инди,,,,,,,,
Мемы дуреют с этой прикормки	,"Симулятор, Казуальная",,,"Продюсер, Менеджер","Кафе, где нужно быстро готовить для мемных персонажей","Пытался создать конвейер под яндекс-игры. Взял готовый ассет и заказал добавление картинок и сдк яндекса. Базируясь на популярной тогда на яндексе игре-приключении, где ты встречаешь мемы",,Яндекс-игры,"кафе, ассет, ресторан",2д,1,Инди,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Крутой побег. Обби, блин.",Аркада,,https://yandex.ru/games/app/386322,"Разработчик, Дизайнер уровней","Трехмерная аркада, где человечком двигаешься от комнаты к комнате в каждой своя маленькая задачка",Делал чтобы заработать на яндексе. Как же устал ее делать. Эти все комнаты надо было расставить. Очень content-driven,"Unity, C#","Яндекс-игры, GamePush и партнеры","тюрьма, уровни, роблокс",3д,4,Инди,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fate: Rise of Heroes. Match for glory,"Match-3, Мидкор",,https://www.youtube.com/watch?v=qG5T9tO5-go,Разработчик,"Матч-3 с боевкой. Большая, мидкорная","Эту игру я делал в найме в Avocado Games. Занимался боевкой, в основном оптимизаицей, рефакторингом. Игра старая, портянки кода достались симферопольской команде от киевской. И они не знали, как что работает. Через тесты выяснял, что и как, чтобы потом рассказать геймдизайнеру, чтобы он мог прописывать баланс","оптимизация, рефакторинг | Unity3d, C#",Google Play,"три в ряд, ","3д, 2д",5,Найм,,,,,,,,
Телекинез Спасение!,"Аркада, головоломка",,,"Разработчик, Продюсер, Геймдизайнер, Менеджер","От первого лица группа уровней, на которых надо сначала пропрыгать аркаду, потом решить головоломку",Пробовал заказывать клоны игр из гугл-плея. Здесь добавил популярную аркадную механику яндекса того времени,,Яндекс-игры,,3д,2,Инди,,,,,,,,
Шум дождя. Звук на фон для релакса и работы ,Полезное приложение,,,Разработчик,"Просто игра шумит, баннеры крутятся","Копирую другую игру, которая у меня приносила деньги ","Unity, C#",Яндекс-игры,,,2,Инди,,,,,,,,
5 ночей с Бу! Испугался?,Хоррор,,https://yandex.ru/games/app/383920,"Продюсер, Менеджер","Игра с механикой 5 ночей, навроде оригинального FNAF, только с мемным котом","У разработчика, у которого я заказывал другую игру, была такая на аккаунте. Тогда как раз только появлялся этот кот, и я понимал, что будет популярный мем. Я сделал модельку кота и всего за 1,5к рублей попросил сделать рескин с небольшими изменениями. Игра отбила разаработку во много раз.",,Яндекс-игры,,3д,3,Инди,,,,,,,,
Соединяй фрукты: 3д арбуз 2048,"Казуальная, раннер",,https://yandex.ru/games/app/379020,"Продюсер, Менеджер",Раннер с мержем,"Заказывал под яндекс, потому что нагугл-плее неплохо зашла похожая игра",,Яндекс-игры,,3д,3,Инди,,,,,,,,
Построй лабиринт,"Казуальная, Idler",,https://yandex.ru/games/app/366605,"Продюсер, Менеджер, Разработчик","Игрок строит из блоков лабиринт на сетке. Летают шарики. врезаются в блоки, тем  самым заработаыают игроку ресурсы, за которые он покупает новые блоки","Делал под яндекс для заработка. Изначально я заказал эту игру у фрилансера. Однако, она показывала высокий плейтайм, но была забагована. Я решил уже позже переписать весь код сам","Unity, C#",Яндекс-игры,,2д,4,Инди,,,,,,,,
Белый шум поможет спать ребенку ,Полезное приложение,,,Разработчик,"Просто игра шумит, баннеры крутятся","Сам испытал потребность в таком приложении. Мы и наши друзья включали белый шум с ютуба - мне это показалось неудобным, поэтому сделал такое приложение. Удивительно, но игра присоила деньги, пока яндекс ее не снес за то, что это не игра",,Яндекс-игры,,2д,3,Инди,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
